Purchase_Order_ID,Status_Description,Employee_Name,Vendor_Name,Vendor_ID,Shipment_Method,Order_Date,Ship_Date,Subtotal,Tax_Amount,Freight,Total_Due,SKU_Category,SKU
PO11317,Complete,Robert Moss,Vendor 21,V021,Express,2025-10-14,2025-10-15,4770.37,238.52,14.27,5023.16,Office Supplies,OS037
PO11001,Rejected,Erica Nelson,Vendor 2,V002,Ground,2025-03-19,2025-03-20,1774.38,88.72,53.14,1916.24,Miscellaneous,MS032
PO11069,Complete,Dorothy Hines,Vendor 22,V022,Overnight,2025-02-20,2025-02-25,2169.23,108.46,32.92,2310.61,Office Supplies,OS035
PO11968,Complete,Robert Brown,Vendor 50,V050,Air,2025-07-19,2025-07-25,1931.91,96.6,15.92,2044.43,Furniture,FC005
PO10530,Complete,Kelly Andrews,Vendor 23,V023,Express,2025-01-05,2025-01-12,1521.12,76.06,14.02,1611.2,Office Supplies,OS005
PO11228,Complete,Patrick Chaney Jr.,Vendor 14,V014,Express,2025-07-11,2025-07-15,4695.74,234.79,26.48,4957.01,Electronics,EL036
PO10415,Complete,Erica Nelson,Vendor 30,V030,Ground,2025-10-28,2025-10-29,628.26,31.41,11.91,671.58,Furniture,FC006
PO10983,Rejected,Rachel Moore,Vendor 2,V002,Express,2025-12-11,2025-12-18,1950.93,97.55,7.44,2055.92,Electronics,EL002
PO10417,Complete,Randy Hernandez,Vendor 50,V050,Express,2025-06-30,2025-07-02,1109.75,55.49,32.92,1198.16,Maintenance,MT033
PO11472,Complete,Michael Brown,Vendor 21,V021,Air,2025-10-25,2025-10-29,588.18,29.41,67.53,685.12,Miscellaneous,MS049
PO11525,Complete,Brooke Jackson,Vendor 41,V041,Express,2025-08-16,2025-08-19,1910.24,95.51,22.74,2028.49,Furniture,FC036
PO11576,Rejected,Dorothy Hines,Vendor 28,V028,Ground,2025-01-17,2025-01-21,2510.07,125.5,38.92,2674.49,Miscellaneous,MS010
PO10252,Complete,Jacob Patterson,Vendor 44,V044,Express,2025-11-27,2025-11-28,2398.99,119.95,70.0,2588.94,Office Supplies,OS023
PO11622,Rejected,Brooke Jackson,Vendor 49,V049,Overnight,2025-10-08,2025-10-13,1027.47,51.37,12.29,1091.13,Furniture,FC021
PO10071,Complete,Laura Morgan,Vendor 48,V048,Air,2025-02-19,2025-02-25,4221.71,211.09,50.05,4482.85,Miscellaneous,MS001
PO11107,Complete,Robert Brown,Vendor 33,V033,Ground,2025-01-28,2025-02-01,109.83,5.49,32.67,147.99,Maintenance,MT038
PO11363,Complete,Douglas Garcia,Vendor 26,V026,Express,2025-10-16,2025-10-18,3203.43,160.17,87.54,3451.14,Furniture,FC001
PO10351,Complete,Randy Hernandez,Vendor 12,V012,Overnight,2025-10-03,2025-10-10,4941.74,247.09,27.38,5216.21,Maintenance,MT028
PO11392,Complete,Patrick Chaney Jr.,Vendor 31,V031,Overnight,2025-02-23,2025-03-02,1729.37,86.47,76.14,1891.98,Miscellaneous,MS011
PO11088,Complete,Kevin Meyer,Vendor 33,V033,Express,2025-12-24,2025-12-30,3819.46,190.97,12.75,4023.18,Electronics,EL015
PO10066,Complete,Kimberly Richardson,Vendor 18,V018,Overnight,2025-06-24,2025-06-30,3809.52,190.48,13.35,4013.35,Electronics,EL008
PO10980,Complete,Randy Hernandez,Vendor 34,V034,Ground,2025-06-01,2025-06-04,1636.61,81.83,37.98,1756.42,Maintenance,MT004
PO10125,Complete,Dorothy Hines,Vendor 35,V035,Express,2025-03-16,2025-03-17,2468.0,123.4,7.69,2599.09,Office Supplies,OS005
PO11269,Complete,Douglas Garcia,Vendor 11,V011,Ground,2025-01-15,2025-01-22,1156.02,57.8,26.74,1240.56,Furniture,FC008
PO11682,Complete,Jacob Patterson,Vendor 42,V042,Overnight,2025-05-10,2025-05-17,1197.17,59.86,41.92,1298.95,Office Supplies,OS034
PO11316,Complete,Angie Boyd,Vendor 36,V036,Air,2025-11-09,2025-11-14,4892.79,244.64,19.5,5156.93,Office Supplies,OS045
PO10544,Complete,Randy Hernandez,Vendor 19,V019,Overnight,2025-02-14,2025-02-21,950.63,47.53,89.07,1087.23,Maintenance,MT012
PO10874,Complete,Randy Hernandez,Vendor 44,V044,Overnight,2025-08-16,2025-08-17,4712.88,235.64,62.62,5011.14,Office Supplies,OS005
PO11492,Complete,Robert Brown,Vendor 47,V047,Air,2025-10-29,2025-11-01,1535.31,76.77,32.17,1644.25,Maintenance,MT017
PO11944,Complete,Kimberly Richardson,Vendor 29,V029,Express,2025-02-21,2025-02-28,4793.84,239.69,42.24,5075.77,Furniture,FC028
PO11621,Complete,Natalie Richardson,Vendor 14,V014,Express,2025-01-28,2025-02-01,4561.78,228.09,36.69,4826.56,Furniture,FC022
PO10375,Rejected,Natalie Richardson,Vendor 33,V033,Express,2025-02-22,2025-02-25,3368.08,168.4,99.11,3635.59,Furniture,FC037
PO11248,Complete,Kevin Meyer,Vendor 28,V028,Air,2025-09-20,2025-09-23,4698.85,234.94,36.69,4970.48,Electronics,EL026
PO10213,Complete,Erica Nelson,Vendor 37,V037,Ground,2025-02-25,2025-02-26,2997.6,149.88,96.42,3243.9,Electronics,EL027
PO11640,Complete,Brandi Smith,Vendor 42,V042,Overnight,2025-05-28,2025-06-01,1329.51,66.48,52.68,1448.67,Office Supplies,OS022
PO10325,Complete,Robert Moss,Vendor 18,V018,Express,2025-05-05,2025-05-10,4893.78,244.69,16.04,5154.51,Electronics,EL050
PO10030,Complete,Kevin Meyer,Vendor 9,V009,Express,2025-07-21,2025-07-23,3023.88,151.19,27.66,3202.73,Maintenance,MT037
PO11836,Complete,Kevin Meyer,Vendor 4,V004,Air,2025-01-07,2025-01-13,4948.49,247.42,45.96,5241.87,Miscellaneous,MS037
PO10781,Complete,Dorothy Hines,Vendor 12,V012,Express,2025-08-17,2025-08-22,4253.33,212.67,81.42,4547.42,Electronics,EL004
PO10290,Complete,Kelly Andrews,Vendor 23,V023,Overnight,2025-05-10,2025-05-15,2724.02,136.2,27.31,2887.53,Electronics,EL012
PO11264,Rejected,Natalie Richardson,Vendor 43,V043,Overnight,2025-05-17,2025-05-22,374.27,18.71,96.55,489.53,Miscellaneous,MS014
PO10496,Complete,Kelly Andrews,Vendor 8,V008,Overnight,2025-01-24,2025-01-30,291.08,14.55,59.79,365.42,Miscellaneous,MS034
