Purchase Order ID,Status Description,Employee ID,Employee Name,Vendor ID,Vendor Name,Ship Method ID,Ship Method,Order Date,Ship Date,Sub Total,Tax Amt,Freight,Total Due
G-68033553,Complete,256,Frank Pellow,1694,"Compete, Inc.",4,OVERNIGHT J-FAST,2021-03-18 0:00,2021-03-21 0:00,3492.4312,279.3945,398.9996,4170.8253
J-78352391,Complete,258,Erin Hagens,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2023-12-31 0:00,2024-01-05 0:00,44722.2482,3577.7799,10035.4898,57168.8075
B-57768626,Complete,254,Fukiko Ogisu,1576,Superior Bicycles,2,ZY - EXPRESS,2022-12-25 0:00,2022-12-27 0:00,43631.4616,3490.5169,7411.5421,54533.5206
J-18905425,Complete,252,Arvind Rao,1530,Comfort Road Bicycles,5,CARGO TRANSPORT 5,2022-06-07 0:00,2022-06-15 0:00,29493.4339,2359.4747,4158.6814,36011.59
J-62503795,Complete,258,Erin Hagens,1678,"Proseware, Inc.",5,CARGO TRANSPORT 5,2022-05-02 0:00,2022-05-10 0:00,26617.5056,2129.4004,2773.6924,31520.5984
J-59133013,Complete,255,Gordon Hee,1506,Greenwood Athletic Company,5,CARGO TRANSPORT 5,2024-11-16 0:00,2024-11-23 0:00,48433.5987,3874.6879,6471.6894,58779.976
G-47252182,Complete,261,Reinout Hillmann,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2025-07-14 0:00,2025-07-25 0:00,18627.1632,1490.1731,7604.3426,27721.6789
J-76690781,Complete,252,Arvind Rao,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2021-03-14 0:00,2021-03-18 0:00,40279.4705,3222.3576,6244.7367,49746.5648
G-76147466,Complete,250,Sheela Word,1658,Crowley Sport,1,XRQ - TRUCK GROUND,2024-02-01 0:00,2024-02-10 0:00,48433.5987,3874.6879,5242.6602,57550.9468
J-81099016,Complete,252,Arvind Rao,1506,Greenwood Athletic Company,2,ZY - EXPRESS,2021-12-14 0:00,2021-12-20 0:00,44975.4112,3598.0329,3966.9926,52540.4367
G-37266750,Complete,251,Mikael Sandberg,1646,Electronic Bike Repair & Supplies,4,OVERNIGHT J-FAST,2025-11-06 0:00,2025-11-10 0:00,54342.3002,4347.384,3884.57,62574.2542
B-31805917,Complete,256,Frank Pellow,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2025-08-12 0:00,2025-08-18 0:00,18627.1632,1490.1731,3145.5269,23262.8632
K-47142555,Complete,257,Eric Kurjan,1684,Professional Athletic Consultants,1,XRQ - TRUCK GROUND,2023-12-24 0:00,2023-12-29 0:00,42318.6187,3385.4895,2720.7257,48424.8339
A-93356307,Complete,259,Ben Miller,1570,First Rate Bicycles,4,OVERNIGHT J-FAST,2024-09-06 0:00,2024-09-10 0:00,56140.3927,4491.2314,2911.3274,63542.9515
A-62609009,Complete,256,Frank Pellow,1646,Electronic Bike Repair & Supplies,5,CARGO TRANSPORT 5,2023-04-21 0:00,2023-04-30 0:00,51723.7836,4137.9027,11247.8591,67109.7073
J-77427379,Complete,256,Frank Pellow,1556,West Junction Cycles,1,XRQ - TRUCK GROUND,2025-01-23 0:00,2025-01-28 0:00,28886.2942,2310.9035,2253.6226,33450.8203
G-59334107,Rejected,260,Annette Hill,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2022-11-20 0:00,2022-11-26 0:00,43631.4616,3490.5169,5718.0149,53896.7933
